,id,subsector,nivel,eje,n°,desccorta,desclarga
202,203,Ciencias Naturales,5,Ciencias de la vida,3,Sistema respiratorio y sus estructuras,"Explicar por medio de modelos, la respiración (inspiración-expiración.intercambio de oxigeno y dióxido de carbono), identificando las estructuras básicas del sistema respiratorio (nariz, tráquea, bronquios, alvéolos, pulmones)."
203,204,Ciencias Naturales,5,Ciencias de la vida,4,Sistema circulatorio y sus estructuras,"Explicar la función de transporte del sistema circulatorio (sustancias alimenticias, oxígeno y dióxido de carbono), identificando sus estructuras básicas (corazón, vasos sanguíneos y sangre)."
204,205,Ciencias Naturales,5,Cuerpo humano y salud,5,Los alimentos y el crecimiento,"Analizar el consumo de alimento diario (variedad, tamaño y frecuencia de porciones), reconociendo los alimentos para el crecimiento, la reparación, el desarrollo y el movimiento del cuerpo."
205,206,Ciencias Naturales,5,Cuerpo humano y salud,6,Efectos nocivos que produce el cigarrillo,Investigar en diversas fuentes y comunicar los efectos nocivos que produce el cigarrillo (humo del tabaco) en los sistemas respiratorio y circulatorio.
206,207,Ciencias Naturales,5,Cuerpo humano y salud,7,Microorganismos beneficiosos y dañinos para la salud,"Investigar e identificar algunos microorganismos beneficiosos y dañinos para la salud (bacterias, virus y hongos), y proponer medidas de cuidado e higiene del cuerpo."
207,208,Ciencias Naturales,5,Ciencias Físicas y Químicas,8,Reconocer cambios de la energía eléctrica,"Reconocer los cambios que experimenta la energía eléctrica al pasar de una forma a otra (eléctrica a calórica, sonora, lumínica, etc.) e investigar los principales aportes de científicos en su estudio a lo largo del tiempo."
208,209,Ciencias Naturales,5,Ciencias Físicas y Químicas,9,Circuitos eléctricos simples,"Construir un circuito eléctrico simple (cable, mpolleta, interruptor y pila), usarlo para resolver 
problemas cotidianos y explicar su funcionamiento."
209,210,Ciencias Naturales,5,Ciencias Físicas y Químicas,10,Materiales conductores y aisladores de electricidad,"Observar y distinguir, por medio de la investigación experimental, los materiales conductores (cobre y alumnio) y aisladores (plásticos y goma) de electricidad, relacionándolos con la manipulación segura de artefactos tecnológicos y circuitos eléctricos domiciliarios"
210,211,Ciencias Naturales,5,Ciencias Físicas y Químicas,11,Importancia de la energía eléctrica,Explicar la importancia de la energía eléctrica en la vida cotidiana y proponer medidas para promover su ahorro y su uso responsable.
211,212,Ciencias Naturales,5,Ciencias de la Tierra y el Universo,12,Distribución de agua dulce y salada en la tierra,"Describir la distribución del agua dulce y salada en la Tierra, considerando océanos, glaciares, ríos y lagos, aguas subterráneas, nubes, vapor de agua, etc., y comparar sus volúmenes, reconociendo la escasez relativa de agua dulce."
212,213,Ciencias Naturales,5,Ciencias de la Tierra y el Universo,13,Características de los océanos y lagos,"Analizar y describir las características de los océanos y lagos: variación de temperatura, luminosidad y presión en relación con la profundidad, diversidad de flora y fauna,  movimiento de las aguas, como olas, mareas, corrientes (El Niño y Humboldt)"
213,214,Ciencias Naturales,5,Ciencias de la Tierra y el Universo,14,Explicar los efectos positivos y negativos en océanos y lagos.,"Investigar y explicar efectos positivos y negativos de la actividad humana en océanos, lagos, ríos, glaciares, entre otros, proponiendo acciones de protección de las reservas hídricas en Chile y comunicando sus resultados."
214,215,Ciencias Naturales,6,Ciencias de la vida,1,Uso de recursos para la fotosíntesis,"Explicar, a partir de una investigación experimental, los requerimientos de agua, dióxido de carbono y energía lumínica para la producción de azúcar y la liberación de oxígeno en la fotosíntesis, comunicando sus resultados y los aportes de científicos en este campo a lo largo del tiempo."
215,216,Ciencias Naturales,6,Ciencias de la vida,2,Tranferencia de energía y materia entre seres vivos,"Representar, por medio de modelos, la transferencia de energía y materia desde los organismos  otosintéticos a otros seres vivos por medio de cadenas y redes alimentarias en diferentes ecosistemas."
216,217,Ciencias Naturales,6,Ciencias de la vida,3,Efectos de la actividad humana en redes alimentarias,Analizar los efectos de la actividad humana sobre las redes alimentarias.
217,218,Ciencias Naturales,6,Cuerpo humano y salud,4,Estructura del los sistemas reproductores humanos,Identificar y describir las funciones de las principales estructuras de los sistemas reproductores humanos femenino y masculino.
218,219,Ciencias Naturales,6,Cuerpo humano y salud,5,Cambios que se producen en la pubertad en humanos,"Describir y comparar los cambios que se producen en la pubertad en mujeres y hombres, reconociéndola como una etapa del desarrollo humano."
219,220,Ciencias Naturales,6,Cuerpo humano y salud,6,Beneficios de la actividad física en la pubertad,Reconocer los beneficios de realizar actividad física en forma regular y de cuidar la higiene corporal en el período de la pubertad.
220,221,Ciencias Naturales,6,Cuerpo humano y salud,7,Efectos nocivos de las drogas para la salud,"Investigar y comunicar los efectos nocivos de algunas drogas para la salud, proponiendo conductas de protección."
221,222,Ciencias Naturales,6,Ciencias Físicas y Químicas,8,"Energía, cambio en objetos y procesos en seres vivos","Explicar que la energía es necesaria para que los objetos cambien y los seres vivos realicen sus procesos vitales, y que la mayoría de los recursos energéticos proviene directa o indirectamente del Sol, dando ejemplos de ello."
222,223,Ciencias Naturales,6,Ciencias Físicas y Químicas,9,Transformación de la  energía de una forma a otra,"Investigar en forma experimental la transformación de la energía de una forma a otra, dando ejemplos y comunicando sus conclusiones."
223,224,Ciencias Naturales,6,Ciencias Físicas y Químicas,10,Transferencia de calor entre objetos,"Demostrar, por medio de la investigación experimental, que el calor fluye de un objeto caliente a uno frío hasta que ambos alcanzan la misma temperatura."
224,225,Ciencias Naturales,6,Ciencias Físicas y Químicas,11,Recursos naturales renovables y no renovables,"Clasificar los recursos naturales energéticos en no renovables y renovables y proponer medidas
para el uso responsable de la energía."
225,226,Ciencias Naturales,6,Ciencias Físicas y Químicas,12,Materia está formado por particulas en movimiento,"Explicar, a partir de modelos, que la materia está formada por partículas en movimiento en sus estados sólido, líquido y gaseoso."
226,227,Ciencias Naturales,6,Ciencias Físicas y Químicas,13,Experimentar los cambios de estado de la materia,"Demostrar, mediante la investigación experimental, los cambios de estado de la materia, como fusión, evaporación, ebullición, condensación, solidificación y sublimación."
227,228,Ciencias Naturales,6,Ciencias Físicas y Químicas,14,Diferencias entre calor y temperatura,"Diferenciar entre calor y temperatura, considerando que el calor es una forma de energía y la temperatura es la medida de lo caliente de un objeto."
228,229,Ciencias Naturales,6,Ciencias Físicas y Químicas,15,Información obtenida al calentar y enfriar agua,"Medir e interpretar la información obtenida al calentar y enfriar el agua, considerando las transformaciones de un estado a otro."
229,230,Ciencias Naturales,6,Ciencias de la Tierra y el Universo,16,Describir características de las capas de la tierra.,"Describir las características de las capas de la Tierra (atmósfera, litósfera e hidrósfera) que posibilitan el desarrollo de la vida y proveen recursos para el ser humano, y proponer medidas de protección de dichas capas."
230,231,Ciencias Naturales,6,Ciencias de la Tierra y el Universo,17,La formación del suelo y sus propiedades,"Investigar experimentalmente la formación del suelo, sus propiedades (como color, textura y capacidad de retención de agua) y la importancia de protegerlo de la contaminación, comunicando sus resultados."
231,232,Ciencias Naturales,6,Ciencias de la Tierra y el Universo,18,Consecuencias de la erosión sobre la superficie terrestre,"Explicar las consecuencias de la erosión sobre la superficie de la Tierra, identificando los agentes que la provocan, como el viento, el agua y las actividades humanas."
232,233,"Historia, Geografía y Ciencias Sociales",1,Historia,1,Nombrar y secuenciar días de la semana y meses,"Nombrar y secuenciar días de la semana y meses del año, utilizando calendarios, e identificar el año en curso."
233,234,"Historia, Geografía y Ciencias Sociales",1,Historia,2,"utilizar
categorías relativas de ubicación temporal","Secuenciar acontecimientos y actividades de la vida cotidiana, personal y familiar, utilizando
categorías relativas de ubicación temporal, como antes, después; ayer, hoy, mañana; día,
noche; este año, el año pasado, el año próximo."
234,235,"Historia, Geografía y Ciencias Sociales",1,Historia,3,Registrar y comunicar información personal,"Registrar y comunicar información sobre elementos que forman parte de su identidad personal
(nombre, fecha de nacimiento, lugar de procedencia, ascendencias, gustos, intereses, amigos y
otros) para reconocer sus características individuales."
235,236,"Historia, Geografía y Ciencias Sociales",1,Historia,4,Obtener y comunicar aspectos de la historia familiar,"Obtener y comunicar aspectos de la historia de su familia y sus características, como costumbres,
tradiciones, ritos, fiestas, recuerdos y roles que desempeñan los distintos miembros de su
grupo familiar, mediante la formulación de preguntas a adultos de su entorno cercano."
236,237,"Historia, Geografía y Ciencias Sociales",1,Historia,5,Reconocer los símbolos representativos de Chile,"Reconocer los símbolos representativos de Chile (como la bandera, el escudo y el himno
nacional), describir costumbres, actividades y la participación de hombres y mujeres respecto
de conmemoraciones nacionales (como Fiestas Patrias, Día del Descubrimiento de dos mundos
y Combate Naval de Iquique) y reconocer en ellos un elemento de unidad e identidad nacional."
237,238,"Historia, Geografía y Ciencias Sociales",1,Historia,6,Conocer expresiones culturales locales y nacionales,"Conocer expresiones culturales locales y nacionales (como comidas, flores y animales típicos,
música y juegos, entre otros), describir fiestas y tradiciones importantes de nivel local (como
Fiesta de La Tirana, Fiesta de San Pedro, Fiesta de Cuasimodo, carreras a la chilena, el rodeo, la
vendimia y la fundación del pueblo o de la ciudad, entre otras) y reconocer estas expresiones
como elementos de unidad e identidad local y/o nacional."
238,239,"Historia, Geografía y Ciencias Sociales",1,Historia,7,Conoce vida de personas que contribuyeron a Chile,"Conocer sobre la vida de hombres y mujeres que han contribuido a la sociedad chilena en
diversos ámbitos; por ejemplo, los fundadores de las ciudades, los exploradores, las personas que
han fundado o creado instituciones, las personas que se han destacado por su emprendimiento
y su solidaridad, los deportistas, los científicos, los artistas y los grandes poetas, entre otros."
239,240,"Historia, Geografía y Ciencias Sociales",1,Geografía,8,Conocer mapas y  planos para representar lugares,Reconocer que los mapas y los planos son formas de representar lugares.
240,241,"Historia, Geografía y Ciencias Sociales",1,Geografía,9,Identificar a Chile en mapas,"Identificar a Chile en mapas, incluyendo la cordillera de los Andes, el océano Pacífico, la ciudad
de Santiago, su región, su capital y su localidad."
241,242,"Historia, Geografía y Ciencias Sociales",1,Geografía,10,Describir paisajes usando vocabulario geográfico,"Observar y describir paisajes de su entorno local, utilizando vocabulario geográfico adecuado
(país, ciudad, camino, pueblo, construcciones, cordillera, mar, vegetación y desierto) y
categorías de ubicación relativa (derecha, izquierda, delante, detrás, entre otros)."
242,243,"Historia, Geografía y Ciencias Sociales",1,Geografía,11,Identificar trabajos remunerados y no remunerados,"Identificar trabajos y productos de su familia y su localidad y cómo estos aportan a su vida diaria,
reconociendo la importancia de todos los trabajos, tanto remunerados como no remunerados."
243,244,"Historia, Geografía y Ciencias Sociales",1,Geografía,12,Conocer cómo viven otros niños en otras partes del mundo,"Conocer cómo viven otros niños en diferentes partes del mundo por medio de imágenes y
relatos, ubicando en un globo terráqueo o mapamundi los países donde habitan y comparando
su idioma, vestimenta, comida, fiestas, costumbres y principales tareas con las de niños
chilenos."
244,245,"Historia, Geografía y Ciencias Sociales",1,Formación Ciudadana,13,"Mostrar respeto al otro, empatía y responsabilidad","Mostrar actitudes y realizar acciones concretas en su entorno cercano (familia, escuela y
comunidad) que reflejen:
• respeto al otro (ejemplos: escuchar atentamente al otro, tratar con cortesía a los demás,
etc.)
• empatía (ejemplos: ayudar a los demás cuando sea necesario, no discriminar a otros por
su aspecto o costumbres, etc.)
• responsabilidad (ejemplos: asumir encargos en su casa y en la sala de clases, cuidar sus
pertenencias y la de los demás, cuidar los espacios comunes, etc.)"
245,246,"Historia, Geografía y Ciencias Sociales",1,Formación Ciudadana,14,Explicar y aplicar normas para la buena convivencia,"Explicar y aplicar algunas normas para la buena convivencia y para la seguridad y el autocuidado
en su familia, en la escuela y en la vía pública."
246,247,"Historia, Geografía y Ciencias Sociales",1,Formación Ciudadana,15,Labor que cumplen instituciones en la sociedad,"Identificar la labor que cumplen, en beneficio de la comunidad, instituciones como la escuela,
la municipalidad, el hospital o la posta, Carabineros de Chile, y las personas que trabajan en
ellas."
247,248,"Historia, Geografía y Ciencias Sociales",2,Historia,1,Vida de pueblos originarios en período precolombino,"Describir los modos de vida de algunos pueblos originarios de Chile en el período precolombino,
incluyendo ubicación geográfica, medio natural en que habitaban, vida nómade o sedentaria,
roles de hombres y mujeres, herramientas y tecnología, principales actividades, vivienda,
costumbres, idioma, creencias, alimentación y fiestas, entre otros."
248,249,"Historia, Geografía y Ciencias Sociales",2,Historia,2,Modo de vida actual con el precolombino de indígenas,"Comparar el modo de vida y expresiones culturales de pueblos indígenas presentes en Chile
actual (como mapuche, aimara, rapa nui) con respecto al periodo precolombino, identificando
aspectos de su cultura que se han mantenido hasta el presente y aspectos que han cambiado."
249,250,"Historia, Geografía y Ciencias Sociales",2,Historia,3,Aporte a sociedad de pueblos originarios y español,"Distinguir los diversos aportes a la sociedad chilena proveniente de los pueblos originarios
(palabras, alimentos, tradiciones, cultura, etc.) y de los españoles (idioma, religión, alimentos,
cultura, etc.) y reconocer nuestra sociedad como mestiza."
250,251,"Historia, Geografía y Ciencias Sociales",2,Historia,4,Influencia y aportes de los inmigrantes a Chile,"Reconocer y dar ejemplos de la influencia y los aportes de inmigrantes de distintas naciones
europeas, orientales, árabes y latinoamericanas a la diversidad de la sociedad chilena, a lo largo
de su historia."
251,252,"Historia, Geografía y Ciencias Sociales",2,Historia,5,Reconoce expresiones del patrimonio cultural,"Reconocer diversas expresiones del patrimonio cultural del país y de su región, como
manifestaciones artísticas, tradiciones folclóricas, leyendas y tradiciones orales, costumbres
familiares, creencias, idioma, construcciones, comidas típicas, fiestas, monumentos y sitios
históricos."
252,253,"Historia, Geografía y Ciencias Sociales",2,Geografía,6,Leer y dibujar planos de su entorno con simbología,"Leer y dibujar planos simples de su entorno, utilizando puntos de referencia, categorías de
posición relativa y simbología pictórica."
253,254,"Historia, Geografía y Ciencias Sociales",2,Geografía,7,Ubicar lugares en el globo terráqueo o mapas,"Ubicar Chile, Santiago, la propia región y su capital en el globo terráqueo o en mapas, y describir
la ubicación relativa de países limítrofes y de otros países de América del Sur, utilizando los
puntos cardinales."
254,255,"Historia, Geografía y Ciencias Sociales",2,Geografía,8,Clasificar paisajes de Chile según ubicación,"Clasificar y caracterizar algunos paisajes de Chile según su ubicación en la zona norte, centro
y sur del país, observando imágenes, y utilizando diversas fuentes y un vocabulario geográfico
adecuado (océano, río, cordillera de los Andes y de la Costa, desierto, valle, costa, volcán,
archipiélago, isla, fiordo, lago, ciudad y pueblo, entre otros)."
255,256,"Historia, Geografía y Ciencias Sociales",2,Geografía,9,Reconoce expresiones de patrimonio natural de Chile,"Reconocer diversas expresiones del patrimonio natural de Chile y de su región, como paisajes,
flora y fauna característica, y parques nacionales, entre otros."
256,257,"Historia, Geografía y Ciencias Sociales",2,Geografía,10,Ubicar en mapas los pueblos originarios de Chile,"Ubicar en mapas las zonas habitadas por algunos pueblos originarios de Chile, distinguiendo
zonas norte, centro y sur."
257,258,"Historia, Geografía y Ciencias Sociales",2,Geografía,11,Geografía y los recursos de pueblos originarios,"Relacionar las principales características geográficas (disponibilidad de agua, temperatura y
vegetación) de las zonas habitadas por algunos pueblos originarios de Chile, con los recursos
que utilizaron para satisfacer sus necesidades de alimentación, abrigo y vivienda."
258,259,"Historia, Geografía y Ciencias Sociales",2,Formación Ciudadana,12,"Mostrar respeto, responsabilidad, tolerancia y empatía","Mostrar actitudes y realizar acciones concretas en su entorno cercano (familia, escuela y
comunidad) que reflejen:
• respeto al otro (interactuar con cortesía, cuidar espacios comunes, respetar la propiedad
de los demás, etc.)
• responsabilidad (ejemplos: cumplir con sus deberes escolares, asumir encargos en el hogar
y dentro de la sala de clases, etc.)
• tolerancia (ejemplos: respetar opiniones diversas, no discriminar a otros por su aspecto o
costumbres, etc.)
• empatía (ejemplos: integrar a los demás en sus juegos y actividades, ayudar a los otros,
etc.)"
259,260,"Historia, Geografía y Ciencias Sociales",2,Formación Ciudadana,13,Mantener una conducta honesta en la vida cotidiana,"Mantener una conducta honesta en la vida cotidiana, en los juegos y en el trabajo escolar,
hablando con la verdad, respetando las reglas de los juegos sin hacer trampa y reconociendo
sus errores y sus acciones, entre otros."
260,261,"Historia, Geografía y Ciencias Sociales",2,Formación Ciudadana,14,"Evitar riesgos, cuidar el patrimonio y medioambiente","Conocer, proponer, aplicar y explicar la importancia de algunas normas necesarias para:
• cuidarse, cuidar a otros y evitar situaciones de riesgo (como seguridad vial, vías de
evacuación, adaptaciones para discapacitados, zonas de silencio, etc.)
• organizar un ambiente propicio al aprendizaje y acogedor para todos (por ejemplo,
respetar los turnos, cuidar el espacio y las pertenencias comunes y de sus pares, etc.)
• cuidar el patrimonio y el medioambiente"
261,262,"Historia, Geografía y Ciencias Sociales",2,Formación Ciudadana,15,Labor de servicios en beneficio de la comunidad,"Identificar la labor que cumplen en beneficio de la comunidad servicios como los medios de
transporte y de comunicación y el mercado, y algunas instituciones encargadas de proteger
nuestro patrimonio cultural y natural."
262,263,"Historia, Geografía y Ciencias Sociales",2,Formación Ciudadana,16,Acciones para cuidar y respetar los espacios públicos,"Practicar y proponer acciones para cuidar y respetar los espacios públicos dentro y fuera de
la escuela (como baños, patios, salas de clase, plazas, parques, playas y calles, entre otros),
reconociendo que pertenecen y benefician a todos y que, por lo tanto, su cuidado es
responsabilidad de todos los miembros de la comunidad."
263,264,"Historia, Geografía y Ciencias Sociales",3,Historia,1,Civilización griega de la Antigüedad y su legado,"Reconocer aspectos de la vida cotidiana de la civilización griega de la Antigüedad e
identificar algunos elementos de su legado a sociedades y culturas del presente; entre ellos,
la organización democrática, el desarrollo de la historia, el teatro como forma de expresión,
el arte y la escultura, la arquitectura, la mitología, la geometría y la filosofía, la creación del
alfabeto y los juegos olímpicos."
264,265,"Historia, Geografía y Ciencias Sociales",3,Historia,2,Civilización romana de la Antigüedad y su legado,"Reconocer aspectos de la vida cotidiana de la civilización romana de la Antigüedad e identificar
algunos elementos de su legado a sociedades y culturas del presente; entre ellos, el idioma, el
derecho y las leyes, el arte y las obras arquitectónicas."
265,266,"Historia, Geografía y Ciencias Sociales",3,Historia,3,Culturas y pueblos frente al desafío de desarrollarse,"Explicar, con ejemplos concretos, cómo diferentes culturas y pueblos (como griegos y romanos
de la Antigüedad) han enfrentado de distintas maneras el desafío de desarrollarse y satisfacer
las necesidades comunes a todos los seres humanos."
266,267,"Historia, Geografía y Ciencias Sociales",3,Historia,4,Compara modos de vida de Antigüedad con el propio,"Comparar modos de vida de la Antigüedad con el propio, considerando costumbres, trabajos y
oficios, creencias, vestimentas y características de las ciudades, entre otros."
267,268,"Historia, Geografía y Ciencias Sociales",3,Historia,5,Investigar tema con relación a civilizaciones antiguas,"Investigar sobre algún tema de su interés con relación a las civilizaciones estudiadas (como
los héroes, los dioses, las ciudades, las viviendas, la vestimenta, las herramientas tecnológicas
y la esclavitud, entre otros) por medio de diferentes fuentes (libros, fuentes gráficas, TICs) y
comunicar lo aprendido."
268,269,"Historia, Geografía y Ciencias Sociales",3,Geografía,6,Ubicar elementos en una cuadrícula,"Ubicar personas, lugares y elementos en una cuadrícula, utilizando líneas de referencia y
puntos cardinales."
269,270,"Historia, Geografía y Ciencias Sociales",3,Geografía,7,"Distingue hemisferios, polos, etc, en mapas y globos","Distinguir hemisferios, círculo del Ecuador, trópicos, polos, continentes y océanos del planeta
en mapas y globos terráqueos."
270,271,"Historia, Geografía y Ciencias Sociales",3,Geografía,8,Ubica en mapas las zonas climáticas del mundo,"Identificar y ubicar en mapas las principales zonas climáticas del mundo, y dar ejemplos de
distintos paisajes que pueden encontrarse en estas zonas y de cómo las personas han elaborado
diferentes estrategias para habitarlos."
271,272,"Historia, Geografía y Ciencias Sociales",3,Geografía,9,Entorno geográfico de civilizaciones estudiadas,"Caracterizar el entorno geográfico de las civilizaciones estudiadas, utilizando vocabulario
geográfico adecuado (continente, valle, montaña, océano, río, archipiélago, mares, península,
ciudad, construcciones y monumentos, entre otros)."
272,273,"Historia, Geografía y Ciencias Sociales",3,Geografía,10,Factores geográficos que influyeron en civilizaciones,"Reconocer algunos factores geográficos que influyeron en el desarrollo de las civilizaciones
estudiadas (ubicación, relieve y clima, recursos naturales disponibles, importancia del mar
Egeo y sus islas para Grecia e importancia del mar Mediterráneo para Roma, entre otros)."
273,274,"Historia, Geografía y Ciencias Sociales",3,Formación Ciudadana,11,Asumir deberes y responsabilidades como estudiante,"Asumir sus deberes y responsabilidades como estudiante y en situaciones de la vida cotidiana,
como cumplir con sus deberes escolares, colaborar en el orden y en la limpieza de los espacios
que comparte con su familia, escuela y comunidad, cuidar sus pertenencias y las de los demás,
preocuparse de su salud e higiene y ayudar en su casa."
274,275,"Historia, Geografía y Ciencias Sociales",3,Formación Ciudadana,12,"Mostrar respeto, responsabilidad, tolerancia y empatía","Mostrar actitudes y realizar acciones concretas en su entorno cercano (familia, escuela y
comunidad) que reflejen valores y virtudes ciudadanas, como:
• la tolerancia y el respeto al otro (ejemplos: respetar las opiniones distintas a las propias,
mostrar disposición al diálogo, respetar expresiones de diversidad, como diferentes
costumbres, creencias, origen étnico, nacionalidad, etc.)
• la empatía (ejemplos: demostrar cortesía con los demás, escuchar al otro, ayudar a quien
lo necesite, etc.)"
275,276,"Historia, Geografía y Ciencias Sociales",3,Formación Ciudadana,13,Mantener una conducta honesta en la vida cotidiana,"Mantener una conducta honesta en la vida cotidiana, en los juegos y en el trabajo escolar,
hablando con la verdad, respetando las reglas de los juegos sin hacer trampa y reconociendo
sus errores y sus acciones, entre otros."
276,277,"Historia, Geografía y Ciencias Sociales",3,Formación Ciudadana,14,Reconocer que los niños tienen derechos,"Reconocer que los niños tienen derechos que les permiten recibir un cuidado especial por
parte de la sociedad con el fin de que puedan aprender, crecer y desarrollarse, y dar ejemplos
de cómo la sociedad les garantiza estos derechos."
277,278,"Historia, Geografía y Ciencias Sociales",3,Formación Ciudadana,15,Investigar sobre instituciones públicas y privadas,"Investigar y comunicar sus resultados sobre algunas instituciones públicas y privadas (como
Junaeb, Sernac, SII, Banco Estado, instituciones de previsión y salud, universidades, Hogar de
Cristo y fundaciones, entre otras), identificando el servicio que prestan en la comunidad y los
diferentes trabajos que realizan las personas que se desempeñan en ellas."
278,279,"Historia, Geografía y Ciencias Sociales",3,Formación Ciudadana,16,Participar responsable y activamente en hogar y escuela,"Participar responsable y activamente en su hogar (encargos, celebraciones, cuidado de las
cosas) y en la escuela (campañas solidarias, celebraciones, deportes y juegos), cumpliendo
compromisos y responsabilidades adquiridos."
279,280,"Historia, Geografía y Ciencias Sociales",4,Historia,1,Describir la civilización maya,"Describir la civilización maya, considerando ubicación geográfica, organización política,
actividades económicas, formas de cultivo y alimentos, organización de la sociedad, roles y
oficios de hombres y mujeres, religión y ritos, desarrollo de la astronomía y la matemática,
sistemas de escritura, guerras y sacrificios humanos, construcciones, costumbres y vida
cotidiana, entre otros."
280,281,"Historia, Geografía y Ciencias Sociales",4,Historia,2,Describir la civilización azteca,"Describir la civilización azteca, considerando ubicación geográfica, organización política y
extensión, la ciudad de Tenochtitlán, formas de cultivo y alimentos, religión y ritos, avances
tecnológicos, organización de la sociedad, roles y oficios de hombres y mujeres, construcciones,
costumbres y vida cotidiana, entre otros."
281,282,"Historia, Geografía y Ciencias Sociales",4,Historia,3,Describir la civilización inca,"Describir la civilización inca, considerando ubicación geográfica, organización política, sistema
de caminos y correos, religión y ritos, avances tecnológicos, organización de la sociedad, roles
y oficios de hombres y mujeres, formas de cultivo y alimentos, construcciones, costumbres y
vida cotidiana, entre otros."
282,283,"Historia, Geografía y Ciencias Sociales",4,Historia,4,Características de civilizaciones americanas,"Analizar y comparar las principales características de las civilizaciones americanas (mayas,
aztecas e incas)."
283,284,"Historia, Geografía y Ciencias Sociales",4,Historia,5,Pueblos indígenas americanos y su influencia,"Investigar en diversas fuentes (imágenes, medios audiovisuales, TICs, gráficos, textos y otras)
sobre algunos temas relacionados con el presente de los pueblos indígenas americanos; por
ejemplo, el protagonismo que tienen hoy, la influencia de las civilizaciones maya, azteca e inca
sobre la cultura y la sociedad de los países actuales, situados donde ellos se desarrollaron, y su
influencia en las comidas y en la lengua que empleamos en la actualidad, entre otros."
284,285,"Historia, Geografía y Ciencias Sociales",4,Geografía,6,Ubicar en un mapa utilizando coordenadas geográficas,"Ubicar lugares en un mapa, utilizando coordenadas geográficas como referencia (paralelos y
meridianos)."
285,286,"Historia, Geografía y Ciencias Sociales",4,Geografía,7,Recursos naturales renovables y no renovables,"Distinguir recursos naturales renovables y no renovables, reconocer el carácter limitado de los
recursos naturales y la necesidad de cuidarlos, e identificar recursos presentes en objetos y
bienes cotidianos."
286,287,"Historia, Geografía y Ciencias Sociales",4,Geografía,8,Describir distintos paisajes del continente americano,"Describir distintos paisajes del continente americano, considerando climas, ríos, población,
idiomas, países y grandes ciudades, entre otros, y utilizando vocabulario geográfico adecuado."
287,288,"Historia, Geografía y Ciencias Sociales",4,Geografía,9,Reconocer principales recursos naturales de América,"Reconocer y ubicar los principales recursos naturales de América, considerando su distribución
geográfica y su uso, y reconociendo la importancia de cuidarlos en el marco de un desarrollo
sostenible."
288,289,"Historia, Geografía y Ciencias Sociales",4,Geografía,10,Comparar paisajes de su región con paisajes de América,"Comparar, mediante la observación en imágenes, mapas y otras fuentes, paisajes de su región
con paisajes de América, distinguiendo distintas formas de adaptación y transformación de la
población a su ambiente natural."
289,290,"Historia, Geografía y Ciencias Sociales",4,Formación Ciudadana,11,Organización política y democrática de Chile,"Distinguir algunos actores de la organización política y democrática de Chile, como Presidente,
ministros, senadores, diputados y alcaldes, considerando las instituciones en las que ejercen y
cómo son nombrados o elegidos."
290,291,"Historia, Geografía y Ciencias Sociales",4,Formación Ciudadana,12,Reconoce derechos en situaciones de vida cotidiana,"Reconocer sus principales derechos en situaciones de la vida cotidiana, como el derecho a
la educación, a contar con alimentación, vivienda, recreo y servicios médicos adecuados, a
expresarse, a ser protegido contra el abandono y la crueldad, y a no trabajar antes de la edad
apropiada, y dar ejemplos de cómo se pueden ejercer y proteger esos derechos."
291,292,"Historia, Geografía y Ciencias Sociales",4,Formación Ciudadana,13,Mantener una conducta honesta en la vida cotidiana,"Mantener una conducta honesta en la vida cotidiana, en los juegos y en el trabajo escolar,
hablando con la verdad, respetando las reglas de los juegos sin hacer trampa, evitando la copia
y el plagio y reconociendo sus errores y sus acciones, entre otros."
292,293,"Historia, Geografía y Ciencias Sociales",4,Formación Ciudadana,14,Respeto por todas las personas sin discriminar,"Demostrar respeto por todas las personas mediante acciones en su vida diaria, sin discriminar
por condiciones físicas, sociales, económicas, étnicas o culturales."
293,294,"Historia, Geografía y Ciencias Sociales",4,Formación Ciudadana,15,Participar en comunidad tomando parte en elecciones,"Participar en su comunidad, tomando parte en elecciones para una directiva del curso,
asignando roles y funciones a cada cargo, y considerando la importancia de mantener una
buena convivencia y una organización del curso que favorezca el trabajo escolar."
294,295,"Historia, Geografía y Ciencias Sociales",4,Formación Ciudadana,16,"Resolver conflictos, aplicando estrategias","Resolver conflictos, aplicando estrategias como determinar la causa del problema, proponer
posibles soluciones, dialogar, buscar un punto de vista común y votar, entre otras, demostrando
respeto y empatía por las partes involucradas para mejorar la convivencia en el curso y en la
comunidad escolar."
295,296,"Historia, Geografía y Ciencias Sociales",4,Formación Ciudadana,17,Diseñar y participar activamente en un proyecto grupal,"Diseñar y participar activamente en un proyecto grupal que solucione un problema de la
comunidad escolar; por ejemplo, reciclaje de la basura, exceso de ruido, organización de
turnos, leer o entretener a alumnos más pequeños, etc."
296,297,"Historia, Geografía y Ciencias Sociales",4,Formación Ciudadana,18,Opinar y argumentar con fundamentos sobre temas,Opinar y argumentar con fundamentos sobre temas de la asignatura u otros.
297,298,"Historia, Geografía y Ciencias Sociales",5,Historia,1,Explicar los viajes de descubrimiento de exploradores,"Explicar los viajes de descubrimiento de Cristóbal Colón, de Hernando de Magallanes y de algún
otro explorador, considerando sus objetivos, las rutas recorridas, los avances tecnológicos que
facilitaron la navegación, las dificultades y los desafíos que enfrentaron las tripulaciones y el
contexto europeo general en que se desarrollaron."
